standardized_smiles,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37,odor_38,odor_39,odor_40,odor_41,odor_42,odor_43,odor_44,odor_45,odor_46,odor_47,odor_48,odor_49,odor_50,odor_51,odor_52,odor_53,odor_54,odor_55,odor_56,odor_57,odor_58,odor_59,odor_60,odor_61,odor_62,odor_63
CC(C)C12CCC(C)(O)C1C2,Balsamic,Balsamic,Woody,Green,Woody,Green,Eucalyptus,Eucalyptus,Eucalyptus,Minty,Eucalyptus,Terpenic,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC(=O)C(C)CC1,Spearmint,Minty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,Acetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CC=C(C=O)CC1,Herbal,Spices,Herbal,Herbal,Cumin,Spices,Herbal,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(C(=O)O)CC1,Spices,Sweaty,Animal,Sweaty,Sweaty,Cumin,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(C)(O)CC1,Woody,Dry,Earthy/ Musty,Musty,Musty/Moldy,Woody,Musty,Woody,Musty,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1=CCC(CCOC=O)=CC1,Herbal,Floral,Floral,Herbal,Sweet,Fruity,Herbal,Floral,Fruity,Fruity,Minty,Sweet,Herbal,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1C=CC(=O)CC1,Herbal,Woody,Spices,Herbal,Woody,Herbal,Caraway,Cumin,Spices,Herbal,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1C=CC(C)(O)CC1,Herbal,Herbal,Herbal,Herbal,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C(C)O)CC1,Floral,Lily of the valley,Muguet,Rose,Floral,Rose,Floral,Waxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C)(S)CC1=O,Citrus,Citrus,Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(C)C23CCC(C)(O)C2C13,Spices,Cool,Cool,Spices,Minty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(CO)CC1,Clean,Floral,Magnolia,Muguet,Floral,Fresh,Grassy,Floral,Cumin,Grassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC(O)CC1,Dusty,Metallic,Dusty,Rose,Rose,Green,Green,Metallic,Leather,Metallic,Weed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC2(CCC(=O)O2)CC1,Herbal,Woody,Lactonic,Herbal,Woody,Herbal,Lactonic,Celery,Herbal,Woody,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1CCC2CC(=O)CCC2C1,Woody,Grapefruit,Floral,Gardenia,Floral,Green,Grapefruit,Woody,Green,Floral,Rhubarb,Vetiver,Woody,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)C1OC(C)(C)OCC1(C)C,Herbal,Woody,Earthy,Earthy/ Musty,Herbal,Fruity,Green,Woody,Green,Herbal,Fruity,Earthy,Fruity,Herbal,Old wood,Sawdust,Woody,Earthy,Herbal,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
